x,u
0.00000000,0.04704259
0.02040816,0.03623496
0.04081633,0.02700186
0.06122449,0.01945298
0.08163265,0.01354620
0.10204082,0.00911992
0.12244898,0.00593974
0.14285714,0.00374568
0.16326531,0.00228956
0.18367347,0.00135820
0.20408163,0.00078294
0.22448980,0.00043916
0.24489796,0.00024001
0.26530612,0.00012798
0.28571429,0.00006666
0.30612245,0.00003396
0.32653061,0.00001694
0.34693878,0.00000828
0.36734694,0.00000397
0.38775510,0.00000187
0.40816327,0.00000087
0.42857143,0.00000040
0.44897959,0.00000018
0.46938776,0.00000008
0.48979592,0.00000003
0.51020408,0.00000001
0.53061224,0.00000001
0.55102041,0.00000000
0.57142857,0.00000000
0.59183673,0.00000000
0.61224490,0.00000000
0.63265306,0.00000000
0.65306122,0.00000000
0.67346939,0.00000000
0.69387755,0.00000000
0.71428571,0.00000000
0.73469388,0.00000000
0.75510204,0.00000000
0.77551020,0.00000000
0.79591837,0.00000000
0.81632653,0.00000000
0.83673469,0.00000000
0.85714286,0.00000000
0.87755102,0.00000000
0.89795918,0.00000000
0.91836735,0.00000000
0.93877551,0.00000000
0.95918367,0.00000000
0.97959184,0.00000000
1.00000000,0.00000000
