x,u_j0,u_j1
0.00000000,0.00000000,0.02014701
0.02564103,0.00000000,0.01249239
0.05128205,0.00000000,0.00923384
0.07692308,0.00000000,0.00761868
0.10256410,0.00000000,0.00672319
0.12820513,0.00000000,0.00619037
0.15384615,0.00000000,0.00586137
0.17948718,0.00000000,0.00565586
0.20512821,0.00000000,0.00552862
0.23076923,0.00000000,0.00545185
0.25641026,0.00000000,0.00540726
0.28205128,0.00000000,0.00538210
0.30769231,0.00000000,0.00536709
0.33333333,0.00000000,0.00535524
0.35897436,0.00000000,0.00534115
0.38461538,0.00000000,0.00532056
0.41025641,0.00000000,0.00529005
0.43589744,0.00000000,0.00524691
0.46153846,0.00000000,0.00518895
0.48717949,0.00000000,0.00511447
0.51282051,0.00000000,0.00502212
0.53846154,0.00000000,0.00491094
0.56410256,0.00000000,0.00478024
0.58974359,0.00000000,0.00462964
0.61538462,0.00000000,0.00445900
0.64102564,0.00000000,0.00426842
0.66666667,0.00000000,0.00405824
0.69230769,0.00000000,0.00382897
0.71794872,0.00000000,0.00358134
0.74358974,0.00000000,0.00331625
0.76923077,0.00000000,0.00303474
0.79487179,0.00000000,0.00273804
0.82051282,0.00000000,0.00242748
0.84615385,0.00000000,0.00210453
0.87179487,0.00000000,0.00177075
0.89743590,0.00000000,0.00142780
0.92307692,0.00000000,0.00107744
0.94871795,0.00000000,0.00072144
0.97435897,0.00000000,0.00036167
1.00000000,0.00000000,0.00000000
