y,u_i0,u_i1
0.00000000,0.00000000,0.00000000
0.02564103,0.02014701,0.01249239
0.05128205,0.02658774,0.02058459
0.07692308,0.03124343,0.02643406
0.10256410,0.03485572,0.03097257
0.12820513,0.03779063,0.03466003
0.15384615,0.04024914,0.03774892
0.17948718,0.04235075,0.04038941
0.20512821,0.04417073,0.04267605
0.23076923,0.04575851,0.04467095
0.25641026,0.04714752,0.04641611
0.28205128,0.04836084,0.04794054
0.30769231,0.04941465,0.04926456
0.33333333,0.05032038,0.05040253
0.35897436,0.05108615,0.05136464
0.38461538,0.05171768,0.05215812
0.41025641,0.05221904,0.05278802
0.43589744,0.05259300,0.05325787
0.46153846,0.05284143,0.05357000
0.48717949,0.05296544,0.05372581
0.51282051,0.05296559,0.05372599
0.53846154,0.05284185,0.05357053
0.56410256,0.05259370,0.05325876
0.58974359,0.05222000,0.05278924
0.61538462,0.05171889,0.05215963
0.64102564,0.05108757,0.05136644
0.66666667,0.05032200,0.05040456
0.69230769,0.04941642,0.04926679
0.71794872,0.04836273,0.04794292
0.74358974,0.04714948,0.04641858
0.76923077,0.04576051,0.04467346
0.79487179,0.04417272,0.04267854
0.82051282,0.04235267,0.04039182
0.84615385,0.04025094,0.03775119
0.87179487,0.03779227,0.03466208
0.89743590,0.03485713,0.03097435
0.92307692,0.03124457,0.02643548
0.94871795,0.02658854,0.02058560
0.97435897,0.02014743,0.01249293
1.00000000,0.00000000,0.00000000
