y,u_i39,u_i38
0.00000000,0.00000000,0.00000000
0.02564103,0.00000000,0.00036167
0.05128205,0.00000000,0.00072100
0.07692308,0.00000000,0.00107564
0.10256410,0.00000000,0.00142330
0.12820513,0.00000000,0.00176171
0.15384615,0.00000000,0.00208868
0.17948718,0.00000000,0.00240208
0.20512821,0.00000000,0.00269989
0.23076923,0.00000000,0.00298016
0.25641026,0.00000000,0.00324110
0.28205128,0.00000000,0.00348100
0.30769231,0.00000000,0.00369832
0.33333333,0.00000000,0.00389165
0.35897436,0.00000000,0.00405974
0.38461538,0.00000000,0.00420152
0.41025641,0.00000000,0.00431606
0.43589744,0.00000000,0.00440262
0.46153846,0.00000000,0.00446066
0.48717949,0.00000000,0.00448978
0.51282051,0.00000000,0.00448982
0.53846154,0.00000000,0.00446076
0.56410256,0.00000000,0.00440279
0.58974359,0.00000000,0.00431629
0.61538462,0.00000000,0.00420181
0.64102564,0.00000000,0.00406008
0.66666667,0.00000000,0.00389203
0.69230769,0.00000000,0.00369874
0.71794872,0.00000000,0.00348145
0.74358974,0.00000000,0.00324157
0.76923077,0.00000000,0.00298064
0.79487179,0.00000000,0.00270036
0.82051282,0.00000000,0.00240254
0.84615385,0.00000000,0.00208911
0.87179487,0.00000000,0.00176210
0.89743590,0.00000000,0.00142363
0.92307692,0.00000000,0.00107591
0.94871795,0.00000000,0.00072119
0.97435897,0.00000000,0.00036177
1.00000000,0.00000000,0.00000000
