x,u_j39,u_j38
0.00000000,0.00000000,0.02014743
0.02564103,0.00000000,0.01249293
0.05128205,0.00000000,0.00923448
0.07692308,0.00000000,0.00761942
0.10256410,0.00000000,0.00672402
0.12820513,0.00000000,0.00619129
0.15384615,0.00000000,0.00586238
0.17948718,0.00000000,0.00565695
0.20512821,0.00000000,0.00552978
0.23076923,0.00000000,0.00545308
0.25641026,0.00000000,0.00540854
0.28205128,0.00000000,0.00538343
0.30769231,0.00000000,0.00536847
0.33333333,0.00000000,0.00535666
0.35897436,0.00000000,0.00534260
0.38461538,0.00000000,0.00532202
0.41025641,0.00000000,0.00529152
0.43589744,0.00000000,0.00524839
0.46153846,0.00000000,0.00519043
0.48717949,0.00000000,0.00511593
0.51282051,0.00000000,0.00502357
0.53846154,0.00000000,0.00491236
0.56410256,0.00000000,0.00478163
0.58974359,0.00000000,0.00463098
0.61538462,0.00000000,0.00446029
0.64102564,0.00000000,0.00426966
0.66666667,0.00000000,0.00405942
0.69230769,0.00000000,0.00383008
0.71794872,0.00000000,0.00358238
0.74358974,0.00000000,0.00331720
0.76923077,0.00000000,0.00303562
0.79487179,0.00000000,0.00273883
0.82051282,0.00000000,0.00242818
0.84615385,0.00000000,0.00210513
0.87179487,0.00000000,0.00177125
0.89743590,0.00000000,0.00142821
0.92307692,0.00000000,0.00107774
0.94871795,0.00000000,0.00072165
0.97435897,0.00000000,0.00036177
1.00000000,0.00000000,0.00000000
