x,u
0.00000000,0.05296559
0.02564103,0.05372599
0.05128205,0.05459025
0.07692308,0.05553646
0.10256410,0.05654224
0.12820513,0.05758451
0.15384615,0.05863959
0.17948718,0.05968331
0.20512821,0.06069130
0.23076923,0.06163919
0.25641026,0.06250295
0.28205128,0.06325916
0.30769231,0.06388527
0.33333333,0.06435990
0.35897436,0.06466311
0.38461538,0.06477655
0.41025641,0.06468373
0.43589744,0.06437011
0.46153846,0.06382327
0.48717949,0.06303301
0.51282051,0.06199138
0.53846154,0.06069279
0.56410256,0.05913396
0.58974359,0.05731396
0.61538462,0.05523419
0.64102564,0.05289832
0.66666667,0.05031222
0.69230769,0.04748392
0.71794872,0.04442350
0.74358974,0.04114297
0.76923077,0.03765618
0.79487179,0.03397867
0.82051282,0.03012755
0.84615385,0.02612132
0.87179487,0.02197975
0.89743590,0.01772369
0.92307692,0.01337492
0.94871795,0.00895594
0.97435897,0.00448982
1.00000000,0.00000000
