y,u
0.00000000,0.00000000
0.02564103,0.00502212
0.05128205,0.01001047
0.07692308,0.01493150
0.10256410,0.01975225
0.12820513,0.02444069
0.15384615,0.02896589
0.17948718,0.03329830
0.20512821,0.03740993
0.23076923,0.04127452
0.25641026,0.04486766
0.28205128,0.04816690
0.30769231,0.05115184
0.33333333,0.05380421
0.35897436,0.05610793
0.38461538,0.05804912
0.41025641,0.05961617
0.43589744,0.06079978
0.46153846,0.06159291
0.48717949,0.06199090
0.51282051,0.06199138
0.53846154,0.06159436
0.56410256,0.06080215
0.58974359,0.05961944
0.61538462,0.05805320
0.64102564,0.05611275
0.66666667,0.05380968
0.69230769,0.05115783
0.71794872,0.04817329
0.74358974,0.04487431
0.76923077,0.04128128
0.79487179,0.03741664
0.82051282,0.03330478
0.84615385,0.02897198
0.87179487,0.02444621
0.89743590,0.01975702
0.92307692,0.01493533
0.94871795,0.01001320
0.97435897,0.00502357
1.00000000,0.00000000
