x,y,u
0.00000000,0.00000000,0.00000000
0.00000000,0.03448276,0.02364329
0.00000000,0.06896552,0.03047117
0.00000000,0.10344828,0.03531805
0.00000000,0.13793103,0.03902816
0.00000000,0.17241379,0.04200304
0.00000000,0.20689655,0.04445376
0.00000000,0.24137931,0.04649968
0.00000000,0.27586207,0.04821172
0.00000000,0.31034483,0.04963343
0.00000000,0.34482759,0.05079202
0.00000000,0.37931034,0.05170462
0.00000000,0.41379310,0.05238193
0.00000000,0.44827586,0.05283048
0.00000000,0.48275862,0.05305399
0.00000000,0.51724138,0.05305414
0.00000000,0.55172414,0.05283091
0.00000000,0.58620690,0.05238263
0.00000000,0.62068966,0.05170557
0.00000000,0.65517241,0.05079318
0.00000000,0.68965517,0.04963476
0.00000000,0.72413793,0.04821317
0.00000000,0.75862069,0.04650118
0.00000000,0.79310345,0.04445526
0.00000000,0.82758621,0.04200447
0.00000000,0.86206897,0.03902945
0.00000000,0.89655172,0.03531912
0.00000000,0.93103448,0.03047195
0.00000000,0.96551724,0.02364372
0.00000000,1.00000000,0.00000000
0.03448276,0.00000000,0.00000000
0.03448276,0.03448276,0.01455478
0.03448276,0.06896552,0.02373709
0.03448276,0.10344828,0.03025531
0.03448276,0.13793103,0.03524477
0.03448276,0.17241379,0.03924547
0.03448276,0.20689655,0.04254127
0.03448276,0.24137931,0.04529267
0.03448276,0.27586207,0.04759508
0.03448276,0.31034483,0.04950703
0.03448276,0.34482759,0.05106514
0.03448276,0.37931034,0.05229242
0.03448276,0.41379310,0.05320328
0.03448276,0.44827586,0.05380651
0.03448276,0.48275862,0.05410710
0.03448276,0.51724138,0.05410729
0.03448276,0.55172414,0.05380709
0.03448276,0.58620690,0.05320422
0.03448276,0.62068966,0.05229369
0.03448276,0.65517241,0.05106669
0.03448276,0.68965517,0.04950881
0.03448276,0.72413793,0.04759702
0.03448276,0.75862069,0.04529469
0.03448276,0.79310345,0.04254329
0.03448276,0.82758621,0.03924739
0.03448276,0.86206897,0.03524650
0.03448276,0.89655172,0.03025675
0.03448276,0.93103448,0.02373814
0.03448276,0.96551724,0.01455535
0.03448276,1.00000000,0.00000000
0.06896552,0.00000000,0.00000000
0.06896552,0.03448276,0.01082500
0.06896552,0.06896552,0.01963977
0.06896552,0.10344828,0.02668072
0.06896552,0.13793103,0.03239672
0.06896552,0.17241379,0.03712719
0.06896552,0.20689655,0.04109615
0.06896552,0.24137931,0.04444713
0.06896552,0.27586207,0.04727185
0.06896552,0.31034483,0.04962909
0.06896552,0.34482759,0.05155656
0.06896552,0.37931034,0.05307833
0.06896552,0.41379310,0.05420955
0.06896552,0.44827586,0.05495948
0.06896552,0.48275862,0.05533339
0.06896552,0.51724138,0.05533363
0.06896552,0.55172414,0.05496020
0.06896552,0.58620690,0.05421072
0.06896552,0.62068966,0.05307990
0.06896552,0.65517241,0.05155849
0.06896552,0.68965517,0.04963129
0.06896552,0.72413793,0.04727425
0.06896552,0.75862069,0.04444962
0.06896552,0.79310345,0.04109864
0.06896552,0.82758621,0.03712956
0.06896552,0.86206897,0.03239885
0.06896552,0.89655172,0.02668250
0.06896552,0.93103448,0.01964108
0.06896552,0.96551724,0.01082571
0.06896552,1.00000000,0.00000000
0.10344828,0.00000000,0.00000000
0.10344828,0.03448276,0.00907800
0.10344828,0.06896552,0.01726163
0.10344828,0.10344828,0.02434988
0.10344828,0.13793103,0.03042739
0.10344828,0.17241379,0.03563924
0.10344828,0.20689655,0.04011503
0.10344828,0.24137931,0.04395285
0.10344828,0.27586207,0.04722214
0.10344828,0.31034483,0.04997028
0.10344828,0.34482759,0.05222884
0.10344828,0.37931034,0.05401835
0.10344828,0.41379310,0.05535185
0.10344828,0.44827586,0.05623730
0.10344828,0.48275862,0.05667916
0.10344828,0.51724138,0.05667945
0.10344828,0.55172414,0.05623814
0.10344828,0.58620690,0.05535323
0.10344828,0.62068966,0.05402020
0.10344828,0.65517241,0.05223111
0.10344828,0.68965517,0.04997288
0.10344828,0.72413793,0.04722497
0.10344828,0.75862069,0.04395580
0.10344828,0.79310345,0.04011796
0.10344828,0.82758621,0.03564204
0.10344828,0.86206897,0.03042990
0.10344828,0.89655172,0.02435198
0.10344828,0.93103448,0.01726317
0.10344828,0.96551724,0.00907883
0.10344828,1.00000000,0.00000000
0.13793103,0.00000000,0.00000000
0.13793103,0.03448276,0.00818451
0.13793103,0.06896552,0.01589761
0.13793103,0.10344828,0.02290904
0.13793103,0.13793103,0.02916488
0.13793103,0.17241379,0.03469236
0.13793103,0.20689655,0.03954292
0.13793103,0.24137931,0.04376693
0.13793103,0.27586207,0.04740522
0.13793103,0.31034483,0.05048790
0.13793103,0.34482759,0.05303584
0.13793103,0.37931034,0.05506285
0.13793103,0.41379310,0.05657760
0.13793103,0.44827586,0.05758525
0.13793103,0.48275862,0.05808864
0.13793103,0.51724138,0.05808896
0.13793103,0.55172414,0.05758622
0.13793103,0.58620690,0.05657917
0.13793103,0.62068966,0.05506497
0.13793103,0.65517241,0.05303843
0.13793103,0.68965517,0.05049086
0.13793103,0.72413793,0.04740845
0.13793103,0.75862069,0.04377029
0.13793103,0.79310345,0.03954627
0.13793103,0.82758621,0.03469555
0.13793103,0.86206897,0.02916776
0.13793103,0.89655172,0.02291143
0.13793103,0.93103448,0.01589936
0.13793103,0.96551724,0.00818546
0.13793103,1.00000000,0.00000000
0.17241379,0.00000000,0.00000000
0.17241379,0.03448276,0.00770869
0.17241379,0.06896552,0.01512830
0.17241379,0.10344828,0.02206491
0.17241379,0.13793103,0.02842178
0.17241379,0.17241379,0.03416580
0.17241379,0.20689655,0.03929614
