y,u_i999,u_i998
0.00000000,0.00000000,0.00000000
0.00100100,0.00000000,0.00000050
0.00200200,0.00000000,0.00000100
0.00300300,0.00000000,0.00000150
0.00400400,0.00000000,0.00000200
0.00500501,0.00000000,0.00000250
0.00600601,0.00000000,0.00000301
0.00700701,0.00000000,0.00000351
0.00800801,0.00000000,0.00000401
0.00900901,0.00000000,0.00000451
0.01001001,0.00000000,0.00000501
0.01101101,0.00000000,0.00000551
0.01201201,0.00000000,0.00000601
0.01301301,0.00000000,0.00000651
0.01401401,0.00000000,0.00000701
0.01501502,0.00000000,0.00000751
0.01601602,0.00000000,0.00000801
0.01701702,0.00000000,0.00000851
0.01801802,0.00000000,0.00000901
0.01901902,0.00000000,0.00000951
0.02002002,0.00000000,0.00001001
0.02102102,0.00000000,0.00001051
0.02202202,0.00000000,0.00001101
0.02302302,0.00000000,0.00001151
0.02402402,0.00000000,0.00001201
0.02502503,0.00000000,0.00001251
0.02602603,0.00000000,0.00001301
0.02702703,0.00000000,0.00001351
0.02802803,0.00000000,0.00001401
0.02902903,0.00000000,0.00001451
0.03003003,0.00000000,0.00001501
0.03103103,0.00000000,0.00001551
0.03203203,0.00000000,0.00001600
0.03303303,0.00000000,0.00001650
0.03403403,0.00000000,0.00001700
0.03503504,0.00000000,0.00001750
0.03603604,0.00000000,0.00001800
0.03703704,0.00000000,0.00001850
0.03803804,0.00000000,0.00001899
0.03903904,0.00000000,0.00001949
0.04004004,0.00000000,0.00001999
0.04104104,0.00000000,0.00002048
0.04204204,0.00000000,0.00002098
0.04304304,0.00000000,0.00002148
0.04404404,0.00000000,0.00002197
0.04504505,0.00000000,0.00002247
0.04604605,0.00000000,0.00002297
0.04704705,0.00000000,0.00002346
0.04804805,0.00000000,0.00002396
0.04904905,0.00000000,0.00002445
0.05005005,0.00000000,0.00002495
0.05105105,0.00000000,0.00002544
0.05205205,0.00000000,0.00002594
0.05305305,0.00000000,0.00002643
0.05405405,0.00000000,0.00002692
0.05505506,0.00000000,0.00002742
0.05605606,0.00000000,0.00002791
0.05705706,0.00000000,0.00002840
0.05805806,0.00000000,0.00002890
0.05905906,0.00000000,0.00002939
0.06006006,0.00000000,0.00002988
0.06106106,0.00000000,0.00003037
0.06206206,0.00000000,0.00003087
0.06306306,0.00000000,0.00003136
0.06406406,0.00000000,0.00003185
0.06506507,0.00000000,0.00003234
0.06606607,0.00000000,0.00003283
0.06706707,0.00000000,0.00003332
0.06806807,0.00000000,0.00003381
0.06906907,0.00000000,0.00003430
0.07007007,0.00000000,0.00003479
