y,u
0.00000000,0.00000000
0.00100100,0.00015931
0.00200200,0.00031863
0.00300300,0.00047794
0.00400400,0.00063724
0.00500501,0.00079654
0.00600601,0.00095583
0.00700701,0.00111511
0.00800801,0.00127438
0.00900901,0.00143364
0.01001001,0.00159288
0.01101101,0.00175211
0.01201201,0.00191132
0.01301301,0.00207051
0.01401401,0.00222968
0.01501502,0.00238883
0.01601602,0.00254795
0.01701702,0.00270705
0.01801802,0.00286612
0.01901902,0.00302517
0.02002002,0.00318418
0.02102102,0.00334317
0.02202202,0.00350212
0.02302302,0.00366103
0.02402402,0.00381991
0.02502503,0.00397875
0.02602603,0.00413756
0.02702703,0.00429632
0.02802803,0.00445504
0.02902903,0.00461371
0.03003003,0.00477234
0.03103103,0.00493092
0.03203203,0.00508945
0.03303303,0.00524794
0.03403403,0.00540637
0.03503504,0.00556475
0.03603604,0.00572307
0.03703704,0.00588133
0.03803804,0.00603954
0.03903904,0.00619769
0.04004004,0.00635578
0.04104104,0.00651380
0.04204204,0.00667176
0.04304304,0.00682965
0.04404404,0.00698748
0.04504505,0.00714523
0.04604605,0.00730292
0.04704705,0.00746053
0.04804805,0.00761807
0.04904905,0.00777554
0.05005005,0.00793293
0.05105105,0.00809024
0.05205205,0.00824747
0.05305305,0.00840461
0.05405405,0.00856168
0.05505506,0.00871866
0.05605606,0.00887555
0.05705706,0.00903236
0.05805806,0.00918907
0.05905906,0.00934570
0.06006006,0.00950223
0.06106106,0.00965867
0.06206206,0.00981502
0.06306306,0.00997126
0.06406406,0.01012741
0.06506507,0.01028346
0.06606607,0.01043941
0.06706707,0.01059525
0.06806807,0.01075099
0.06906907,0.01090662
0.07007007,0.01106214
0.07107107,0.01121756
0.07207207,0.01137286
0.07307307,0.01152805
0.07407407,0.01168313
0.07507508,0.01183809
0.07607608,0.01199294
0.07707708,0.01214766
0.07807808,0.01230227
0.07907908,0.01245675
0.08008008,0.01261112
0.08108108,0.01276535
0.08208208,0.01291946
0.08308308,0.01307345
0.08408408,0.01322730
0.08508509,0.01338102
0.08608609,0.01353461
0.08708709,0.01368807
0.08808809,0.01384139
0.08908909,0.01399457
0.09009009,0.01414762
0.09109109,0.01430052
0.09209209,0.01445329
0.09309309,0.01460591
0.09409409,0.01475839
0.09509510,0.01491072
0.09609610,0.01506290
0.09709710,0.01521493
0.09809810,0.01536682
0.09909910,0.01551855
0.10010010,0.01567013
0.10110110,0.01582155
0.10210210,0.01597282
0.10310310,0.01612393
0.10410410,0.01627488
0.10510511,0.01642567
0.10610611,0.01657629
0.10710711,0.01672676
0.10810811,0.01687705
0.10910911,0.01702718
0.11011011,0.01717714
0.11111111,0.01732694
0.11211211,0.01747656
0.11311311,0.01762600
0.11411411,0.01777528
0.11511512,0.01792437
0.11611612,0.01807329
0.11711712,0.01822204
0.11811812,0.01837060
0.11911912,0.01851898
0.12012012,0.01866717
0.12112112,0.01881519
0.12212212,0.01896301
0.12312312,0.01911065
0.12412412,0.01925810
0.12512513,0.01940536
0.12612613,0.01955243
0.12712713,0.01969930
0.12812813,0.01984598
0.12912913,0.01999246
0.13013013,0.02013874
0.13113113,0.02028483
0.13213213,0.02043072
0.13313313,0.02057640
0.13413413,0.02072188
0.13513514,0.02086715
0.13613614,0.02101222
0.13713714,0.02115708
0.13813814,0.02130173
0.13913914,0.02144617
0.14014014,0.02159040
0.14114114,0.02173442
0.14214214,0.02187822
0.14314314,0.02202180
0.14414414,0.02216517
0.14514515,0.02230831
0.14614615,0.02245124
0.14714715,0.02259394
0.14814815,0.02273642
0.14914915,0.02287868
0.15015015,0.02302071
0.15115115,0.02316251
0.15215215,0.02330408
0.15315315,0.02344542
0.15415415,0.02358654
0.15515516,0.02372741
0.15615616,0.02386805
0.15715716,0.02400846
0.15815816,0.02414863
0.15915916,0.02428856
0.16016016,0.02442825
0.16116116,0.02456770
0.16216216,0.02470690
0.16316316,0.02484587
0.16416416,0.02498458
0.16516517,0.02512305
0.16616617,0.02526127
0.16716717,0.02539924
0.16816817,0.02553696
0.16916917,0.02567442
0.17017017,0.02581164
0.17117117,0.02594859
0.17217217,0.02608529
0.17317317,0.02622174
0.17417417,0.02635792
0.17517518,0.02649384
0.17617618,0.02662950
0.17717718,0.02676490
0.17817818,0.02690003
0.17917918,0.02703490
0.18018018,0.02716950
0.18118118,0.02730383
0.18218218,0.02743789
0.18318318,0.02757168
0.18418418,0.02770520
0.18518519,0.02783844
0.18618619,0.02797141
