x,y,u
0.00000000,0.00000000,0.00000000
0.00000000,0.02564103,0.01733294
0.00000000,0.05128205,0.02101681
0.00000000,0.07692308,0.02302436
0.00000000,0.10256410,0.02413843
0.00000000,0.12820513,0.02475361
0.00000000,0.15384615,0.02508660
0.00000000,0.17948718,0.02526153
0.00000000,0.20512821,0.02535012
0.00000000,0.23076923,0.02539316
0.00000000,0.25641026,0.02541314
0.00000000,0.28205128,0.02542199
0.00000000,0.30769231,0.02542571
0.00000000,0.33333333,0.02542720
0.00000000,0.35897436,0.02542776
0.00000000,0.38461538,0.02542797
0.00000000,0.41025641,0.02542803
0.00000000,0.43589744,0.02542806
0.00000000,0.46153846,0.02542806
0.00000000,0.48717949,0.02542806
0.00000000,0.51282051,0.02542806
0.00000000,0.53846154,0.02542806
0.00000000,0.56410256,0.02542806
0.00000000,0.58974359,0.02542803
0.00000000,0.61538462,0.02542797
0.00000000,0.64102564,0.02542776
0.00000000,0.66666667,0.02542720
0.00000000,0.69230769,0.02542571
0.00000000,0.71794872,0.02542199
0.00000000,0.74358974,0.02541314
0.00000000,0.76923077,0.02539316
0.00000000,0.79487179,0.02535012
0.00000000,0.82051282,0.02526153
0.00000000,0.84615385,0.02508660
0.00000000,0.87179487,0.02475361
0.00000000,0.89743590,0.02413843
0.00000000,0.92307692,0.02302436
0.00000000,0.94871795,0.02101681
0.00000000,0.97435897,0.01733294
0.00000000,1.00000000,0.00000000
0.02564103,0.00000000,0.00000000
0.02564103,0.02564103,0.00895677
0.02564103,0.05128205,0.01358523
0.02564103,0.07692308,0.01610753
0.02564103,0.10256410,0.01750726
0.02564103,0.12820513,0.01828018
0.02564103,0.15384615,0.01869854
0.02564103,0.17948718,0.01891833
0.02564103,0.20512821,0.01902964
0.02564103,0.23076923,0.01908371
0.02564103,0.25641026,0.01910882
0.02564103,0.28205128,0.01911993
0.02564103,0.30769231,0.01912461
0.02564103,0.33333333,0.01912648
0.02564103,0.35897436,0.01912719
0.02564103,0.38461538,0.01912744
0.02564103,0.41025641,0.01912753
0.02564103,0.43589744,0.01912756
0.02564103,0.46153846,0.01912757
0.02564103,0.48717949,0.01912757
0.02564103,0.51282051,0.01912757
0.02564103,0.53846154,0.01912757
0.02564103,0.56410256,0.01912756
0.02564103,0.58974359,0.01912753
0.02564103,0.61538462,0.01912744
0.02564103,0.64102564,0.01912719
0.02564103,0.66666667,0.01912648
0.02564103,0.69230769,0.01912461
0.02564103,0.71794872,0.01911993
0.02564103,0.74358974,0.01910882
0.02564103,0.76923077,0.01908371
0.02564103,0.79487179,0.01902964
0.02564103,0.82051282,0.01891833
0.02564103,0.84615385,0.01869854
0.02564103,0.87179487,0.01828018
0.02564103,0.89743590,0.01750726
0.02564103,0.92307692,0.01610753
0.02564103,0.94871795,0.01358523
0.02564103,0.97435897,0.00895677
0.02564103,1.00000000,0.00000000
0.05128205,0.00000000,0.00000000
0.05128205,0.02564103,0.00510197
0.05128205,0.05128205,0.00863400
0.05128205,0.07692308,0.01084695
0.05128205,0.10256410,0.01216832
0.05128205,0.12820513,0.01292883
0.05128205,0.15384615,0.01335090
0.05128205,0.17948718,0.01357619
0.05128205,0.20512821,0.01369149
0.05128205,0.23076923,0.01374790
0.05128205,0.25641026,0.01377422
0.05128205,0.28205128,0.01378591
0.05128205,0.30769231,0.01379084
0.05128205,0.33333333,0.01379281
0.05128205,0.35897436,0.01379356
0.05128205,0.38461538,0.01379383
0.05128205,0.41025641,0.01379392
0.05128205,0.43589744,0.01379395
0.05128205,0.46153846,0.01379396
0.05128205,0.48717949,0.01379396
