x,y,u
0.00000000,0.00000000,0.00000000
0.00000000,0.02564103,0.02014701
0.00000000,0.05128205,0.02658774
0.00000000,0.07692308,0.03124343
0.00000000,0.10256410,0.03485572
0.00000000,0.12820513,0.03779063
0.00000000,0.15384615,0.04024914
0.00000000,0.17948718,0.04235075
0.00000000,0.20512821,0.04417073
0.00000000,0.23076923,0.04575851
0.00000000,0.25641026,0.04714752
0.00000000,0.28205128,0.04836084
0.00000000,0.30769231,0.04941465
0.00000000,0.33333333,0.05032038
0.00000000,0.35897436,0.05108615
0.00000000,0.38461538,0.05171768
0.00000000,0.41025641,0.05221904
0.00000000,0.43589744,0.05259300
0.00000000,0.46153846,0.05284143
0.00000000,0.48717949,0.05296544
0.00000000,0.51282051,0.05296559
0.00000000,0.53846154,0.05284185
0.00000000,0.56410256,0.05259370
0.00000000,0.58974359,0.05222000
0.00000000,0.61538462,0.05171889
0.00000000,0.64102564,0.05108757
0.00000000,0.66666667,0.05032200
0.00000000,0.69230769,0.04941642
0.00000000,0.71794872,0.04836273
0.00000000,0.74358974,0.04714948
0.00000000,0.76923077,0.04576051
0.00000000,0.79487179,0.04417272
0.00000000,0.82051282,0.04235267
0.00000000,0.84615385,0.04025094
0.00000000,0.87179487,0.03779227
0.00000000,0.89743590,0.03485713
0.00000000,0.92307692,0.03124457
0.00000000,0.94871795,0.02658854
0.00000000,0.97435897,0.02014743
0.00000000,1.00000000,0.00000000
0.02564103,0.00000000,0.00000000
0.02564103,0.02564103,0.01249239
0.02564103,0.05128205,0.02058459
0.02564103,0.07692308,0.02643406
0.02564103,0.10256410,0.03097257
0.02564103,0.12820513,0.03466003
0.02564103,0.15384615,0.03774892
0.02564103,0.17948718,0.04038941
0.02564103,0.20512821,0.04267605
0.02564103,0.23076923,0.04467095
0.02564103,0.25641026,0.04641611
0.02564103,0.28205128,0.04794054
0.02564103,0.30769231,0.04926456
0.02564103,0.33333333,0.05040253
0.02564103,0.35897436,0.05136464
0.02564103,0.38461538,0.05215812
0.02564103,0.41025641,0.05278802
0.02564103,0.43589744,0.05325787
0.02564103,0.46153846,0.05357000
0.02564103,0.48717949,0.05372581
0.02564103,0.51282051,0.05372599
0.02564103,0.53846154,0.05357053
0.02564103,0.56410256,0.05325876
0.02564103,0.58974359,0.05278924
0.02564103,0.61538462,0.05215963
0.02564103,0.64102564,0.05136644
0.02564103,0.66666667,0.05040456
0.02564103,0.69230769,0.04926679
0.02564103,0.71794872,0.04794292
0.02564103,0.74358974,0.04641858
0.02564103,0.76923077,0.04467346
0.02564103,0.79487179,0.04267854
0.02564103,0.82051282,0.04039182
0.02564103,0.84615385,0.03775119
0.02564103,0.87179487,0.03466208
0.02564103,0.89743590,0.03097435
0.02564103,0.92307692,0.02643548
0.02564103,0.94871795,0.02058560
0.02564103,0.97435897,0.01249293
0.02564103,1.00000000,0.00000000
0.05128205,0.00000000,0.00000000
0.05128205,0.02564103,0.00923384
0.05128205,0.05128205,0.01681590
0.05128205,0.07692308,0.02292328
0.05128205,0.10256410,0.02792413
0.05128205,0.12820513,0.03210771
0.05128205,0.15384615,0.03567308
0.05128205,0.17948718,0.03875425
0.05128205,0.20512821,0.04144202
0.05128205,0.23076923,0.04379881
0.05128205,0.25641026,0.04586810
0.05128205,0.28205128,0.04768055
0.05128205,0.30769231,0.04925791
0.05128205,0.33333333,0.05061569
0.05128205,0.35897436,0.05176499
0.05128205,0.38461538,0.05271368
0.05128205,0.41025641,0.05346730
0.05128205,0.43589744,0.05402971
0.05128205,0.46153846,0.05440343
0.05128205,0.48717949,0.05459004
0.05128205,0.51282051,0.05459025
0.05128205,0.53846154,0.05440407
0.05128205,0.56410256,0.05403076
0.05128205,0.58974359,0.05346875
0.05128205,0.61538462,0.05271549
0.05128205,0.64102564,0.05176713
0.05128205,0.66666667,0.05061812
0.05128205,0.69230769,0.04926056
0.05128205,0.71794872,0.04768338
0.05128205,0.74358974,0.04587105
0.05128205,0.76923077,0.04380180
0.05128205,0.79487179,0.04144499
0.05128205,0.82051282,0.03875712
0.05128205,0.84615385,0.03567578
0.05128205,0.87179487,0.03211015
0.05128205,0.89743590,0.02792624
0.05128205,0.92307692,0.02292498
0.05128205,0.94871795,0.01681711
0.05128205,0.97435897,0.00923448
0.05128205,1.00000000,0.00000000
0.07692308,0.00000000,0.00000000
0.07692308,0.02564103,0.00761868
0.07692308,0.05128205,0.01450518
0.07692308,0.07692308,0.02049404
0.07692308,0.10256410,0.02565989
0.07692308,0.12820513,0.03013266
0.07692308,0.15384615,0.03403292
0.07692308,0.17948718,0.03745666
0.07692308,0.20512821,0.04047622
0.07692308,0.23076923,0.04314488
0.07692308,0.25641026,0.04550160
0.07692308,0.28205128,0.04757471
0.07692308,0.30769231,0.04938482
0.07692308,0.33333333,0.05094685
0.07692308,0.35897436,0.05227154
0.07692308,0.38461538,0.05336658
0.07692308,0.41025641,0.05423742
0.07692308,0.43589744,0.05488780
0.07692308,0.46153846,0.05532023
0.07692308,0.48717949,0.05553621
0.07692308,0.51282051,0.05553646
0.07692308,0.53846154,0.05532097
0.07692308,0.56410256,0.05488902
0.07692308,0.58974359,0.05423909
0.07692308,0.61538462,0.05336867
0.07692308,0.64102564,0.05227401
0.07692308,0.66666667,0.05094965
0.07692308,0.69230769,0.04938789
0.07692308,0.71794872,0.04757798
0.07692308,0.74358974,0.04550500
0.07692308,0.76923077,0.04314834
0.07692308,0.79487179,0.04047965
0.07692308,0.82051282,0.03745999
0.07692308,0.84615385,0.03403604
0.07692308,0.87179487,0.03013549
0.07692308,0.89743590,0.02566233
0.07692308,0.92307692,0.02049601
0.07692308,0.94871795,0.01450658
0.07692308,0.97435897,0.00761942
0.07692308,1.00000000,0.00000000
0.10256410,0.00000000,0.00000000
0.10256410,0.02564103,0.00672319
0.10256410,0.05128205,0.01306708
0.10256410,0.07692308,0.01885048
0.10256410,0.10256410,0.02403929
0.10256410,0.12820513,0.02866894
0.10256410,0.15384615,0.03279670
0.10256410,0.17948718,0.03647980
0.10256410,0.20512821,0.03976748
0.10256410,0.23076923,0.04269933
0.10256410,0.25641026,0.04530603
0.10256410,0.28205128,0.04761087
0.10256410,0.30769231,0.04963125
0.10256410,0.33333333,0.05138003
0.10256410,0.35897436,0.05286656
0.10256410,0.38461538,0.05409760
0.10256410,0.41025641,0.05507790
0.10256410,0.43589744,0.05581075
0.10256410,0.46153846,0.05629833
0.10256410,0.48717949,0.05654196
0.10256410,0.51282051,0.05654224
0.10256410,0.53846154,0.05629917
0.10256410,0.56410256,0.05581213
0.10256410,0.58974359,0.05507978
0.10256410,0.61538462,0.05409996
0.10256410,0.64102564,0.05286935
0.10256410,0.66666667,0.05138319
0.10256410,0.69230769,0.04963471
0.10256410,0.71794872,0.04761456
0.10256410,0.74358974,0.04530987
0.10256410,0.76923077,0.04270323
0.10256410,0.79487179,0.03977136
0.10256410,0.82051282,0.03648355
0.10256410,0.84615385,0.03280022
0.10256410,0.87179487,0.02867213
0.10256410,0.89743590,0.02404205
0.10256410,0.92307692,0.01885269
0.10256410,0.94871795,0.01306866
0.10256410,0.97435897,0.00672402
0.10256410,1.00000000,0.00000000
0.12820513,0.00000000,0.00000000
0.12820513,0.02564103,0.00619037
0.12820513,0.05128205,0.01215634
0.12820513,0.07692308,0.01775201
0.12820513,0.10256410,0.02291238
0.12820513,0.12820513,0.02762602
0.12820513,0.15384615,0.03190899
0.12820513,0.17948718,0.03578777
0.12820513,0.20512821,0.03929028
0.12820513,0.23076923,0.04244170
0.12820513,0.25641026,0.04526307
0.12820513,0.28205128,0.04777118
0.12820513,0.30769231,0.04997897
0.12820513,0.33333333,0.05189621
0.12820513,0.35897436,0.05353010
0.12820513,0.38461538,0.05488582
0.12820513,0.41025641,0.05596700
0.12820513,0.43589744,0.05677616
0.12820513,0.46153846,0.05731490
0.12820513,0.48717949,0.05758420
0.12820513,0.51282051,0.05758451
0.12820513,0.53846154,0.05731583
0.12820513,0.56410256,0.05677768
0.12820513,0.58974359,0.05596909
0.12820513,0.61538462,0.05488843
0.12820513,0.64102564,0.05353319
0.12820513,0.66666667,0.05189971
0.12820513,0.69230769,0.04998280
0.12820513,0.71794872,0.04777527
0.12820513,0.74358974,0.04526733
0.12820513,0.76923077,0.04244603
0.12820513,0.79487179,0.03929457
0.12820513,0.82051282,0.03579192
0.12820513,0.84615385,0.03191288
0.12820513,0.87179487,0.02762956
0.12820513,0.89743590,0.02291543
0.12820513,0.92307692,0.01775446
0.12820513,0.94871795,0.01215809
0.12820513,0.97435897,0.00619129
0.12820513,1.00000000,0.00000000
0.15384615,0.00000000,0.00000000
0.15384615,0.02564103,0.00586137
0.15384615,0.05128205,0.01157484
0.15384615,0.07692308,0.01702755
0.15384615,0.10256410,0.02215105
0.15384615,0.12820513,0.02691337
0.15384615,0.15384615,0.03130637
0.15384615,0.17948718,0.03533505
0.15384615,0.20512821,0.03901021
0.15384615,0.23076923,0.04234416
0.15384615,0.25641026,0.04534853
0.15384615,0.28205128,0.04803324
0.15384615,0.30769231,0.05040627
0.15384615,0.33333333,0.05247375
0.15384615,0.35897436,0.05424021
0.15384615,0.38461538,0.05570885
0.15384615,0.41025641,0.05688189
0.15384615,0.43589744,0.05776077
0.15384615,0.46153846,0.05834639
0.15384615,0.48717949,0.05863925
0.15384615,0.51282051,0.05863959
0.15384615,0.53846154,0.05834740
0.15384615,0.56410256,0.05776243
0.15384615,0.58974359,0.05688417
0.15384615,0.61538462,0.05571170
0.15384615,0.64102564,0.05424358
0.15384615,0.66666667,0.05247757
0.15384615,0.69230769,0.05041045
0.15384615,0.71794872,0.04803770
0.15384615,0.74358974,0.04535318
